# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 20 14:40:07 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
#
pl_name,hostname,gaia_id,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim
11 Com b,11 Com,Gaia DR2 3946945413106333696,1,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,6165.60000,476.70000,-476.70000,0
11 UMi b,11 UMi,Gaia DR2 1696798367260229376,1,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,4684.81420,794.57500,-794.57500,0
14 And b,14 And,Gaia DR2 1920113512486282240,1,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,1525.50000,,,0
14 Her b,14 Her,Gaia DR2 1385293808145621504,1,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,1481.08780,47.67450,-47.67450,0
16 Cyg B b,16 Cyg B,Gaia DR2 2135550755683407232,1,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,565.73740,25.42640,-25.42640,0
18 Del b,18 Del,Gaia DR2 1756741374681702784,1,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,3273.50000,,,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Gaia DR2 6243841249531772800,1,,,,,330.000000,,,0,3000.00000,300.00000,-300.00000,0
24 Boo b,24 Boo,Gaia DR2 1603662211901473408,1,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,289.22530,41.31790,-31.78300,0
24 Sex b,24 Sex,Gaia DR2 3830897080395058048,1,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,632.46000,82.63000,-120.77000,0
24 Sex c,24 Sex,Gaia DR2 3830897080395058048,1,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,273.32000,111.24000,-69.92000,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,1,,,,,84.000000,,,0,4131.79000,317.83000,-317.83000,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Gaia DR2 5040416186560252416,1,,,,,52.000000,6.000000,-6.000000,0,7786.50000,794.50000,-794.50000,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Gaia DR2 4963614887043956096,1,,,,,156.000000,10.000000,-10.000000,0,4417.83700,349.61300,-349.61300,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Gaia DR2 146487556211644544,1,,,,,15.000000,,,0,2383.60000,794.50000,-794.50000,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Gaia DR2 3459372646830687104,1,,,,,55.000000,,,0,1589.15000,635.66000,-635.66000,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Gaia DR2 2080063931448749824,1,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,603.87700,31.78300,-31.78300,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,Gaia DR2 1773355403397635968,1,7336.50000000,1934.50000000,-584.00000000,0,,,,,6657.48000,26629.91000,-6657.48000,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Gaia DR2 1986772848034988544,1,,,,,230.000000,20.000000,-20.000000,0,3972.87500,476.74500,-476.74500,0
30 Ari B b,30 Ari B,Gaia DR2 102082477749475200,1,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,4392.41060,572.09400,-572.09400,0
4 UMa b,4 UMa,Gaia DR2 1092230803510960640,1,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,2256.50000,508.50000,-508.50000,0
42 Dra b,42 Dra,Gaia DR2 2256800156348230400,1,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,1233.13000,270.14000,-270.14000,0
47 UMa b,47 UMa,Gaia DR2 777254360337133312,1,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,804.08000,22.25000,-19.07000,0
47 UMa c,47 UMa,Gaia DR2 777254360337133312,1,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,171.62100,20.97600,-23.20100,0
